edge,persistence_obs,p_emp,zscore,qval
"('HSD17B13', 'TOR1B')",0,1.0,-0.9782324974233556,1.0
"('GCKR', 'INSR')",1,1.0,-1.270497824207714,1.0
"('GRB14', 'SREBF1')",1,0.9241516966067864,-0.5208086865972157,1.0
"('SREBF1', 'TM6SF2')",2,0.32934131736526945,1.0390426652604767,1.0
"('GCKR', 'SREBF1')",5,0.4750499001996008,0.928781250116783,1.0
"('PNPLA3', 'SREBF1')",5,0.45708582834331335,0.9370986506475871,1.0
"('COBLL1', 'GCKR')",0,1.0,-0.8595502214806081,1.0
"('MBOAT7', 'TOR1B')",1,0.05389221556886228,4.269750488116282,0.8083832335329341
"('GRB14', 'TM6SF2')",1,0.8862275449101796,0.17251106023859505,1.0
"('GRB14', 'MBOAT7')",0,1.0,-0.2570954706397104,1.0
"('COBLL1', 'INSR')",2,0.011976047904191617,4.903536761557468,0.2694610778443114
"('GRB14', 'PNPLA3')",2,0.35129740518962077,1.2437015296835077,1.0
"('GCKR', 'TM6SF2')",1,0.9281437125748503,-0.4464709795995207,1.0
"('HSD17B13', 'INSR')",1,1.0,-1.003139725151038,1.0
"('PNPLA3', 'TM6SF2')",1,0.9201596806387226,-0.4443279570107992,1.0
"('TM6SF2', 'TOR1B')",0,1.0,-0.580116034811604,1.0
"('GCKR', 'MBOAT7')",0,1.0,-0.5062424389906242,1.0
"('COBLL1', 'SREBF1')",0,1.0,-0.8381580761249496,1.0
"('GCKR', 'PNPLA3')",6,0.49500998003992014,0.8783679596663757,1.0
"('SREBF1', 'TOR1B')",0,1.0,-1.0804913403658403,1.0
"('HSD17B13', 'SREBF1')",5,0.3852295409181637,1.079469672127646,1.0
"('INSR', 'SREBF1')",0,1.0,-1.194044628251987,1.0
"('GRB14', 'HSD17B13')",1,0.9041916167664671,-0.2444588561307964,1.0
"('COBLL1', 'MBOAT7')",0,1.0,-0.156812512046795,1.0
"('GRB14', 'TOR1B')",0,1.0,-0.5976134812682573,1.0
"('COBLL1', 'TM6SF2')",1,0.21956087824351297,1.6913837944571015,1.0
"('HSD17B13', 'TM6SF2')",1,0.9121756487025948,-0.30408280457197384,1.0
"('HSD17B13', 'MBOAT7')",0,1.0,-0.36927447293799814,1.0
"('GCKR', 'HSD17B13')",6,0.37524950099800397,1.0767247968792069,1.0
"('INSR', 'MBOAT7')",0,1.0,-0.25264557631995566,1.0
"('INSR', 'TM6SF2')",0,1.0,-0.7968168313416384,1.0
"('MBOAT7', 'SREBF1')",0,1.0,-0.5650320466312655,1.0
"('HSD17B13', 'PNPLA3')",6,0.36327345309381237,1.1281521496355322,1.0
"('GCKR', 'GRB14')",2,0.31736526946107785,1.3096638245374226,1.0
"('COBLL1', 'PNPLA3')",0,1.0,-0.8631483075572552,1.0
"('GCKR', 'TOR1B')",0,1.0,-1.0027864909465196,1.0
"('INSR', 'PNPLA3')",1,1.0,-1.1819106801308177,1.0
"('PNPLA3', 'TOR1B')",0,1.0,-1.0963698045664385,1.0
"('MBOAT7', 'TM6SF2')",0,1.0,-0.14285714285714288,1.0
"('COBLL1', 'GRB14')",0,1.0,-0.5313409664088731,1.0
"('MBOAT7', 'PNPLA3')",0,1.0,-0.5248906591678238,1.0
"('GRB14', 'INSR')",0,1.0,-0.7578773783682597,1.0
"('COBLL1', 'HSD17B13')",0,1.0,-0.802525961098713,1.0
"('COBLL1', 'TOR1B')",0,1.0,-0.3756496491954862,1.0
"('INSR', 'TOR1B')",3,0.001996007984031936,5.8876274680902965,0.08982035928143711
